Id,Inode,Jnode,LatitudIn,LongitudIn,LatitudJn,LongitudJn
5597-5591,5597,5591,6.24896213703648,-75.5609733219093,6.24913954421918,-75.5619919553358
5598-2196,5598,2196,6.28792783283845,-75.567878137167,6.28738573780706,-75.5664001988342
5598-5774,5598,5774,6.28792783283845,-75.567878137167,6.29062204956193,-75.5674108218691
5599-4129,5599,4129,6.25035832555377,-75.5726233480449,6.25005681935762,-75.5718436306433
5599-2618,5599,2618,6.25035832555377,-75.5726233480449,6.24948811426119,-75.5730442662906
5599-5601,5599,5601,6.25035832555377,-75.5726233480449,6.25073433939427,-75.5736233112182
5599-2615,5599,2615,6.25035832555377,-75.5726233480449,6.25148697079523,-75.571942746215
5600-3680,5600,3680,6.24848918070353,-75.5734978593394,6.24817542736201,-75.5726623216789
5600-2617,5600,2617,6.24848918070353,-75.5734978593394,6.24722452749888,-75.5740863922386
5600-2618,5600,2618,6.24848918070353,-75.5734978593394,6.24948811426119,-75.5730442662906
5600-4727,5600,4727,6.24848918070353,-75.5734978593394,6.24871465745005,-75.5741961585324
5601-4731,5601,4731,6.25073433939427,-75.5736233112182,6.24980845723101,-75.5738926467191
5601-4732,5601,4732,6.25073433939427,-75.5736233112182,6.25103208049397,-75.5743287317318
5601-5599,5601,5599,6.25073433939427,-75.5736233112182,6.25035832555377,-75.5726233480449
5602-5212,5602,5212,6.30153171678818,-75.5604163528204,6.30277043518609,-75.5609329966914
5602-2308,5602,2308,6.30153171678818,-75.5604163528204,6.30153192270948,-75.5585760561642
5602-2189,5602,2189,6.30153171678818,-75.5604163528204,6.29665417311235,-75.5610853197024
5603-2712,5603,2712,6.2765836718245,-75.5768336563818,6.27818522043569,-75.5764286112719
5603-5765,5603,5765,6.2765836718245,-75.5768336563818,6.27643055827499,-75.5773494987513
5604-4042,5604,4042,6.2759845570689,-75.5787314220937,6.27494421434152,-75.5788025949167
5604-2404,5604,2404,6.2759845570689,-75.5787314220937,6.27611859324094,-75.5802231893776
5604-5766,5604,5766,6.2759845570689,-75.5787314220937,6.27713586623497,-75.5776562459424
